alias,sequence,time,deductions,ec,total
sharp_dubinsky,15,,17,,83
cranky_williams,16,,18,,82
practical_galileo,28,,15,,85
happy_euler,6,,1,5,104
zen_jang,18,,28,,72
festive_keller,2,,6,5,99
focused_haibt,10,,16,,84
elegant_wescoff,22,,18,,82
peaceful_easley,12,,16,,84
affectionate_mirzakhani,13,,13,,87
quizzical_mirzakhani,24,,38,,62
dazzling_payne,20,,15,,85
elated_morse,27,,17,,83
flamboyant_mclean,29,,20,,80
objective_fermi,1,,16,,84
happy_allen,3,,9,5,96
happy_euler,21,,6,3,97
zen_jang,14,,14,,86
serene_wing,26,,28,,72
elegant_mcnulty,5,,7,5,98
sad_nightingale,,,,,100
affectionate_pasteur,7,,5,5,100
unruffled_shaw,4,,5,5,100
gifted_agnesi,17,,9,5,96
focused_haibt,25,,17,,83
elegant_wescoff,8,,18,,82
peaceful_easley,11,,26,,74
affectionate_mirzakhani,23,,15,,85
dazzling_payne,9,,5,5,100
elated_morse,19,,12,,88
clever_pasteur,,,,,100
awesome_easley,,,,,100
happy_allen,,,,,100
frosty_brahmagupta,,,,,100
suspicious_lamarr,,,,,100
awesome_wiles,,,,,100
serene_wing,,,,,100
elegant_mcnulty,,,,,100
admiring_kare,,,,,100
adoring_curran,,,,,100
sad_nightingale,,,,,100
affectionate_pasteur,,,,,100
unruffled_shaw,,,,,100
gifted_agnesi,,,,,100
blissful_murdock,,,,,100
suspicious_saha,,,,,100
priceless_mestorf,,,,,100
cranky_williams,,,,,100
awesome_easley,,,,,100
practical_galileo,,,,,100
frosty_brahmagupta,,,,,100
suspicious_lamarr,,,,,100
awesome_wiles,,,,,100
admiring_kare,,,,,100
adoring_curran,,,,,100
festive_keller,,,,,100
blissful_murdock,,,,,100
suspicious_saha,,,,,100
quizzical_mirzakhani,,,,,100